A284    సిలువలో బలియైన<br>
A285    భాసిల్లెను సిలువలో పాపక్షమా<br>
A286    ఇదిగో కలువరి సిలువ ప్రేమ<br>
A287    ఆహా మహాత్మ హా శరణ్య<br>
A288    మనస యేసు మరణ బాధ<br>
A289    చూడుము యీ క్షణమె కల్వరిని<br>
A290    చూడరే క్రీస్తుని జూడరే నా సఖులార <br>
A291    చూడరే సిలువను వ్రేలాడు యేసయ్యను<br>
A292    కన్నీటి అభిషేకమూ <br>
A293    కల్వరి ప్రేమ తలంచునపుడు <br>
A294    కల్వరి లోని శ్రేష్టుడా<br>
A295    ఘోర పాపము ద్రుంచ ధరణిపై కేతెంచి<br>
A296    సిలువే నా శరణాయెను-రా<br>
A297    ఎంతో వింత యెంతో చింత<br>
A298    సిలువ చెంత చేరిననాడే<br>
A299    నా జీవితానికి విలువ తెచ్చిన సిలువ<br>
A300    సిలువలో సిలువలో <br>
A301    క్రీస్తు మన కొరకు చనిపోయెను<br>
A302    జయహే, జయహే<br>
A303    జయ జయ యేసు-జయ యేసు<br>
A304    లేచినాడురా సమాధి గెలిచినాడురా <br>
A305    జీవోదయమై జీవము గలిగిన<br>
A306    జయ జయంబులు పాడుడి<br>
A307    పరిశుద్ధాత్మను గోరుము<br>
A308    పరమాత్మ ప్రోక్షణం<br>
A309    ఇదిగో నా శిష్యులారా <br>
A310    అదే అదే ఆ రోజు<br>
A311    రాకడ సమయంలో<br>
A312    రాజాధిరాజా రా            రా<br>
A313    మేఘాల మీద మన ప్రభు యేసు <br>
A314    యేసు శీఘ్రముగా వచ్చున్‌<br>
A315    పరిశుద్ధ జీవిత మరయుడి ధరనిక<br>
A316    యేసురాజుగా వచ్చుచున్నాడు<br>
A317    శ్రీయేసుయొక్కరాకడ <br>
A318    గగనము చీల్చుకొని యేసు<br>
A319    నమ్మవద్దు నమ్మవద్దు<br>
A320    మాయలోకమాయలోనేల<br>
A321    పరదేశులమో ప్రియులారా<br>
A322    కానాన్‌ పురము కరుగుదము<br>
A323    యేసులో హర్షించెదము <br>
A324    ఎపుడు చేరెద తేజ గృహమే<br>
A325    స్తోత్రము సేయరే - సోదరులార<br>
A326    పరలోక పట్టణము<br>
A327    మన బలమైన దేవాది దేవుని <br>
A328    ఉన్నపాటున వచ్చు-చున్నాను<br>
A500    ప్రేమా పూర్ణుడా స్నేహశీలుడా <br>
<br>
<br>
